index,loss,accuracy,val_loss,val_accuracy,lr
0,0.6493039727210999,0.6364632844924927,0.6405642032623291,0.6309817433357239,0.001
1,0.6025111079216003,0.6776846051216125,0.5688349008560181,0.6913336515426636,0.001
2,0.5496044754981995,0.7100805640220642,0.5283063650131226,0.7115606069564819,0.001
3,0.5255373120307922,0.7253193259239197,0.5151422619819641,0.7196184992790222,0.001
4,0.5165913701057434,0.7270185947418213,0.5166682600975037,0.722085177898407,0.001
5,0.5023955702781677,0.7344186902046204,0.5025948286056519,0.7270185947418213,0.001
6,0.49644848704338074,0.7366661429405212,0.5065735578536987,0.7179740071296692,0.001
7,0.4891809821128845,0.7414350509643555,0.48804107308387756,0.7329386472702026,0.001
8,0.48194068670272827,0.7464780807495117,0.500779390335083,0.7327741980552673,0.001
9,0.4785839319229126,0.749657392501831,0.5006403923034668,0.7303075194358826,0.001
10,0.4720020890235901,0.7494381666183472,0.4784761965274811,0.7335964441299438,0.001
11,0.4668445587158203,0.7525626420974731,0.490243524312973,0.7324452996253967,0.001
12,0.45686471462249756,0.7571123242378235,0.48530682921409607,0.7418187856674194,0.001
13,0.45407137274742126,0.7603464126586914,0.52237468957901,0.712711751461029,0.001
14,0.45337799191474915,0.7623745799064636,0.4782864451408386,0.7467522025108337,0.001
15,0.4439864754676819,0.763799786567688,0.4670872688293457,0.7457655072212219,0.001
16,0.43528199195861816,0.7718029022216797,0.4717088043689728,0.74214768409729,0.001
17,0.43585169315338135,0.7699391841888428,0.48426514863967896,0.7457655072212219,0.001
18,0.4273841083049774,0.7766266465187073,0.4637303650379181,0.7447788119316101,0.001
19,0.42415738105773926,0.7806829810142517,0.4658801257610321,0.7480677366256714,0.001
20,0.4171990156173706,0.7869319915771484,0.47498029470443726,0.7526722550392151,0.001
21,0.41974636912345886,0.7818889617919922,0.4766826629638672,0.7533300518989563,0.001
22,0.4058414399623871,0.7923586964607239,0.46607130765914917,0.7557967305183411,0.001
23,0.40236905217170715,0.7927972078323364,0.47319579124450684,0.7576056718826294,0.001
24,0.3984954357147217,0.7952091097831726,0.48224619030952454,0.7615523934364319,0.001
25,0.3923810124397278,0.7993751168251038,0.4732372462749481,0.7615523934364319,0.001
26,0.38661497831344604,0.8028833270072937,0.4970024526119232,0.759414553642273,0.001
27,0.38404974341392517,0.8054596185684204,0.4703691303730011,0.7659924626350403,0.001
28,0.3768204152584076,0.8100093007087708,0.4662938714027405,0.7676368951797485,0.001
29,0.3733971416950226,0.8119826912879944,0.45527389645576477,0.7645124197006226,0.001
30,0.37009885907173157,0.813298225402832,0.47066202759742737,0.765828013420105,0.001
